SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731946992.901226, -0.113425, -0.566079, -9.988011, 0.008950, 0.055056, -0.000618, , , 
1731946992.911005, -0.011372, -0.576554, -9.731682, -0.003462, -0.004217, -0.009590, , , 
1731946992.921228, -0.040552, -0.524480, -9.847800, 0.008891, 0.050863, -0.001406, , , 
1731946992.931255, 0.037409, -0.564134, -9.641151, -0.010666, -0.024250, -0.001437, , , 
1731946992.941176, -0.049380, -0.563984, -9.884162, -0.003043, 0.001931, -0.001250, , , 
1731946992.951248, -0.062698, -0.572065, -9.888202, 0.002146, 0.024486, -0.002052, , , 
1731946992.961057, 0.018405, -0.610821, -9.669133, -0.010882, -0.015713, -0.001576, , , 
1731946992.971171, -0.042497, -0.587477, -9.887604, -0.002863, 0.008870, -0.001956, , , 
1731946992.981243, -0.036661, -0.577900, -9.811887, -0.001338, 0.011725, -0.001676, , , 
1731946992.991226, -0.011522, -0.563834, -9.743952, -0.008551, -0.008870, 0.000036, , , 
1731946993.001181, -0.051176, -0.549170, -9.874735, -0.001575, 0.008876, -0.001629, , , 
1731946993.010645, -0.027234, -0.563086, -9.792135, -0.002717, 0.005005, -0.000305, , , 
1731946993.021185, -0.005537, -0.587328, -9.790639, -0.004118, -0.004491, -0.001362, , , 
1731946993.031172, -0.041001, -0.563984, -9.856479, 0.000443, 0.009746, -0.001942, , , 
1731946993.041184, -0.027833, -0.568623, -9.789142, -0.003655, 0.001733, -0.002648, , , 
1731946993.051182, -0.030077, -0.573112, -9.802161, -0.004753, 0.003738, -0.000368, , , 
1731946993.061055, -0.028730, -0.571765, -9.836278, -0.001728, 0.006351, -0.000655, , , 
1731946993.071175, -0.022595, -0.577302, -9.796924, -0.005808, 0.000806, 0.001139, , , 
1731946993.081173, -0.028132, -0.570867, -9.820866, -0.003662, 0.003027, -0.000900, , , 
1731946993.091178, -0.035015, -0.566378, -9.803807, -0.003373, 0.004714, -0.000573, , , 
1731946993.101171, -0.026635, -0.565929, -9.792434, -0.003430, 0.000833, -0.001264, , , 
1731946993.111065, -0.033968, -0.556053, -9.809044, -0.003500, 0.004470, -0.001254, , , 
1731946993.121027, -0.034566, -0.558747, -9.802311, -0.003854, 0.004734, -0.001257, , , 
1731946993.131172, -0.010774, -0.575955, -9.794679, -0.002948, 0.001908, -0.001284, , , 
1731946993.141214, -0.022595, -0.568174, -9.804705, -0.002521, 0.005483, -0.001070, , , 
1731946993.151174, -0.038158, -0.584185, -9.816376, -0.002102, 0.002970, 0.000108, , , 
1731946993.161107, -0.032920, -0.578798, -9.818771, -0.003431, 0.002770, 0.000563, , , 
1731946993.171185, -0.022745, -0.577152, -9.821015, -0.004486, 0.004829, -0.001769, , , 
1731946993.181183, -0.026037, -0.562787, -9.801413, -0.003690, 0.003104, -0.001043, , , 
1731946993.191225, -0.033818, -0.558298, -9.825055, -0.003774, 0.002929, -0.001389, , , 
1731946993.201182, -0.019453, -0.590919, -9.797522, -0.002791, 0.004152, -0.000758, , , 
1731946993.211176, -0.015263, -0.597054, -9.812336, -0.003871, 0.001566, -0.000562, , , 
1731946993.221191, -0.028880, -0.543633, -9.800365, -0.003989, 0.004949, -0.000896, , , 
1731946993.230373, -0.031723, -0.543933, -9.812336, -0.004050, 0.001744, -0.000543, , , 
1731946993.241263, -0.042497, -0.545130, -9.769989, -0.003154, 0.003455, 0.000837, , , 
1731946993.251214, -0.025289, -0.554557, -9.803059, -0.002443, 0.003487, -0.000225, , , 
1731946993.261183, -0.020800, -0.587178, -9.796325, -0.002444, 0.003880, -0.000703, , , 
1731946993.271177, -0.021997, -0.602740, -9.805902, -0.004172, 0.001936, -0.001608, , , 
1731946993.281186, -0.028431, -0.579546, -9.818322, -0.004451, 0.005288, -0.000028, , , 
1731946993.291231, -0.039504, -0.565481, -9.813384, -0.003347, 0.004003, -0.001505, , , 
1731946993.301208, -0.040103, -0.566079, -9.812486, -0.003133, 0.004169, -0.000340, , , 
1731946993.311177, -0.015862, -0.556802, -9.809942, -0.004022, 0.003243, -0.000012, , , 
1731946993.321192, -0.030077, -0.554856, -9.798270, -0.002596, 0.003457, -0.001570, , , 
1731946993.331186, -0.028132, -0.561440, -9.815628, -0.002199, 0.003979, -0.000959, , , 
1731946993.341228, -0.027982, -0.573411, -9.806201, -0.003251, 0.005018, -0.000596, , , 
1731946993.351204, -0.020201, -0.575057, -9.808895, -0.003132, 0.003355, -0.000859, , , 
1731946993.361191, -0.029628, -0.576404, -9.812336, -0.003626, 0.004274, -0.001734, , , 
1731946993.371191, -0.036960, -0.575207, -9.805902, -0.004193, 0.002205, -0.001883, , , 
1731946993.381184, -0.047285, -0.572962, -9.798270, -0.004571, 0.003209, -0.001861, , , 
1731946993.391305, -0.030825, -0.572214, -9.806949, -0.003472, 0.003814, -0.000764, , , 
1731946993.401202, -0.011672, -0.557849, -9.816227, -0.003916, 0.003859, -0.000206, , , 
1731946993.410599, -0.022595, -0.565630, -9.786299, -0.002947, 0.003285, -0.002132, , , 
1731946993.420501, -0.027084, -0.569072, -9.806800, -0.004326, 0.003466, -0.001460, , , 
1731946993.431183, -0.026336, -0.557699, -9.805303, -0.003049, 0.004373, -0.000774, , , 
1731946993.440702, -0.017957, -0.558148, -9.807099, -0.003932, 0.004584, -0.000554, , , 
1731946993.451248, -0.027533, -0.575656, -9.793482, -0.003344, 0.003296, -0.000357, , , 
1731946993.461192, -0.017957, -0.587328, -9.808895, -0.002759, 0.003679, -0.001264, , , 
1731946993.471188, -0.024989, -0.591218, -9.809493, -0.004997, 0.003436, -0.000996, , , 
1731946993.481256, -0.034866, -0.580444, -9.820117, -0.004917, 0.003814, -0.001263, , , 
1731946993.491235, -0.027384, -0.566378, -9.798420, -0.003863, 0.003635, -0.001170, , , 
1731946993.501204, -0.034716, -0.548871, -9.798869, -0.004694, 0.003936, -0.001330, , , 
1731946993.511183, -0.032771, -0.557101, -9.806500, -0.002994, 0.002801, -0.001119, , , 
1731946993.521182, -0.039205, -0.563386, -9.802460, -0.003247, 0.002904, -0.001691, , , 
1731946993.531187, -0.031424, -0.572513, -9.810541, -0.004470, 0.004290, -0.000876, , , 
1731946993.540536, -0.023643, -0.585831, -9.807099, -0.003545, 0.003735, 0.000371, , , 
1731946993.551254, -0.011073, -0.594211, -9.811139, -0.003113, 0.002323, -0.001345, , , 
1731946993.561216, -0.033070, -0.582539, -9.804405, -0.005255, 0.003237, -0.000697, , , 
1731946993.571182, -0.014664, -0.569072, -9.817574, -0.005958, 0.003363, 0.000327, , , 
1731946993.581193, -0.021997, -0.552163, -9.804405, -0.004520, 0.004053, -0.001462, , , 
1731946993.591251, -0.030077, -0.551863, -9.789292, -0.003988, 0.003342, -0.000064, , , 
1731946993.601256, -0.020650, -0.553659, -9.807997, -0.003701, 0.002578, -0.002639, , , 
1731946993.611179, -0.025887, -0.581192, -9.810241, -0.003934, 0.003216, -0.001755, , , 
1731946993.621189, -0.022446, -0.587178, -9.810541, -0.003958, 0.002972, -0.000247, , , 
1731946993.631177, -0.027384, -0.602890, -9.825953, -0.004256, 0.004226, -0.001886, , , 
1731946993.641241, -0.018405, -0.584185, -9.800066, -0.003026, 0.004976, -0.000738, , , 
1731946993.651209, -0.024840, -0.564882, -9.812935, -0.003940, 0.000323, -0.003162, , , 
