SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731955632.926205, -0.024840, 0.038756, -9.819668, -0.003802, 0.003422, -0.002154, , , 
1731955632.936149, 0.017358, 0.071377, -9.832088, -0.005483, 0.003924, 0.001081, , , 
1731955632.945790, -0.012869, -0.066439, -9.811887, -0.004034, 0.001594, -0.001640, , , 
1731955632.956173, 0.014066, -0.043993, -9.827300, -0.003439, 0.003727, -0.002659, , , 
1731955632.966191, 0.064195, 0.113276, -9.831939, -0.004511, 0.003606, -0.001937, , , 
1731955632.975658, 0.010774, 0.054019, -9.819519, -0.003492, 0.003915, -0.001466, , , 
1731955632.986244, -0.030825, -0.036063, -9.825654, -0.002830, 0.003517, -0.000138, , , 
1731955632.996193, 0.018705, 0.024391, -9.823260, -0.004264, 0.004543, -0.000901, , , 
1731955633.006177, 0.006734, -0.002394, -9.817574, -0.003593, 0.002389, 0.000318, , , 
1731955633.016184, 0.013767, 0.009278, -9.803059, -0.004684, 0.003725, -0.000573, , , 
1731955633.025457, 0.043993, 0.087987, -9.823260, -0.001733, 0.003352, -0.002361, , , 
1731955633.035843, 0.022745, 0.030376, -9.824307, -0.003927, 0.004098, 0.000800, , , 
1731955633.046144, -0.021997, -0.049530, -9.813683, -0.002919, 0.004436, -0.000517, , , 
1731955633.056178, -0.004938, 0.010325, -9.824457, -0.002977, 0.004847, -0.000927, , , 
1731955633.065462, 0.030376, 0.047585, -9.829993, -0.005155, 0.004681, 0.000070, , , 
1731955633.075401, 0.017358, 0.027234, -9.811289, -0.003726, 0.003603, -0.001044, , , 
1731955633.085594, 0.005237, 0.033369, -9.831939, -0.003717, 0.004713, -0.001162, , , 
1731955633.096118, 0.018854, -0.002843, -9.810391, -0.002784, 0.004513, 0.000636, , , 
1731955633.106198, -0.009128, -0.033070, -9.818621, -0.001410, 0.003319, -0.000752, , , 
1731955633.116162, -0.010175, 0.028581, -9.815778, -0.003125, 0.004181, -0.001152, , , 
1731955633.125433, 0.011073, 0.063446, -9.812486, -0.003797, 0.003967, -0.000381, , , 
1731955633.136166, 0.012420, 0.024092, -9.823559, -0.003762, 0.004651, 0.000385, , , 
1731955633.145963, 0.023942, -0.014964, -9.813833, -0.002990, 0.003759, 0.000495, , , 
1731955633.156165, 0.019303, 0.000599, -9.816077, -0.004201, 0.004454, -0.000327, , , 
1731955633.166246, -0.010325, 0.026635, -9.812636, -0.005301, 0.002841, -0.001553, , , 
1731955633.175428, -0.012570, 0.054169, -9.819369, -0.002383, 0.004096, -0.000631, , , 
1731955633.186174, 0.012570, 0.041300, -9.824158, -0.003581, 0.003798, -0.000792, , , 
1731955633.195888, 0.028132, -0.004489, -9.827599, -0.003905, 0.004766, -0.000093, , , 
1731955633.206208, 0.007931, -0.019004, -9.819369, -0.004149, 0.005258, -0.001876, , , 
1731955633.216033, 0.004639, 0.009726, -9.810840, -0.002937, 0.004652, 0.000097, , , 
1731955633.226237, 0.004938, 0.050278, -9.825355, -0.003587, 0.004373, -0.002753, , , 
1731955633.236206, -0.002993, 0.028581, -9.820417, -0.003892, 0.003492, -0.000413, , , 
1731955633.245748, 0.023343, 0.007332, -9.813982, -0.003637, 0.003482, -0.000580, , , 
1731955633.256168, 0.026336, -0.007931, -9.812037, -0.005352, 0.002969, 0.000378, , , 
1731955633.266086, 0.024690, 0.010924, -9.818022, -0.003988, 0.003849, -0.001708, , , 
