epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980646640,2024-11-07T12:57:26.640,0.000,0.671,-0.244,0.427
1730980646645,2024-11-07T12:57:26.645,0.005,0.366,0.000,0.000
1730980646650,2024-11-07T12:57:26.650,0.010,0.427,-0.183,0.183
1730980646655,2024-11-07T12:57:26.655,0.015,0.732,-0.183,0.244
1730980646660,2024-11-07T12:57:26.660,0.020,0.610,-0.244,0.183
1730980646665,2024-11-07T12:57:26.665,0.025,0.610,-0.244,0.244
1730980646670,2024-11-07T12:57:26.670,0.030,0.732,-0.183,0.183
1730980646675,2024-11-07T12:57:26.675,0.035,0.549,-0.122,0.183
1730980646680,2024-11-07T12:57:26.680,0.040,0.610,-0.122,0.244
1730980646685,2024-11-07T12:57:26.685,0.045,0.488,0.000,0.244
1730980646690,2024-11-07T12:57:26.690,0.050,0.671,-0.122,0.183
1730980646695,2024-11-07T12:57:26.695,0.055,0.671,-0.183,0.305
1730980646700,2024-11-07T12:57:26.700,0.060,0.610,-0.122,0.244
1730980646705,2024-11-07T12:57:26.705,0.065,0.610,-0.061,0.244
1730980646710,2024-11-07T12:57:26.710,0.070,0.610,-0.183,0.244
1730980646715,2024-11-07T12:57:26.715,0.075,0.793,-0.122,0.122
1730980646720,2024-11-07T12:57:26.720,0.080,0.671,-0.061,0.244
1730980646725,2024-11-07T12:57:26.725,0.085,0.610,-0.122,0.244
1730980646730,2024-11-07T12:57:26.730,0.090,0.793,-0.061,0.122
1730980646735,2024-11-07T12:57:26.735,0.095,0.549,-0.183,0.183
1730980646740,2024-11-07T12:57:26.740,0.100,0.549,-0.122,0.244
1730980646745,2024-11-07T12:57:26.745,0.105,0.671,-0.061,0.244
1730980646750,2024-11-07T12:57:26.750,0.110,0.549,-0.122,0.183
1730980646755,2024-11-07T12:57:26.755,0.115,0.610,-0.122,0.183
1730980646760,2024-11-07T12:57:26.760,0.120,0.671,-0.183,0.183
1730980646765,2024-11-07T12:57:26.765,0.125,0.671,-0.122,0.244
1730980646770,2024-11-07T12:57:26.770,0.130,0.549,-0.122,0.244
1730980646775,2024-11-07T12:57:26.775,0.135,0.549,-0.122,0.244
1730980646780,2024-11-07T12:57:26.780,0.140,0.488,-0.122,0.183
1730980646785,2024-11-07T12:57:26.785,0.145,0.732,-0.122,0.183
1730980646790,2024-11-07T12:57:26.790,0.150,0.671,-0.183,0.122
1730980646795,2024-11-07T12:57:26.795,0.155,0.671,-0.244,0.244
1730980646800,2024-11-07T12:57:26.800,0.160,0.549,-0.122,0.183
1730980646805,2024-11-07T12:57:26.805,0.165,0.488,-0.061,0.183
1730980646810,2024-11-07T12:57:26.810,0.170,0.427,-0.122,0.183
1730980646815,2024-11-07T12:57:26.815,0.175,0.610,-0.122,0.305
1730980646820,2024-11-07T12:57:26.820,0.180,0.488,-0.122,0.244
1730980646825,2024-11-07T12:57:26.825,0.185,0.488,-0.244,0.183
1730980646830,2024-11-07T12:57:26.830,0.190,0.610,-0.183,0.244
1730980646835,2024-11-07T12:57:26.835,0.195,0.793,-0.183,0.244
1730980646840,2024-11-07T12:57:26.840,0.200,0.671,-0.061,0.244
1730980646845,2024-11-07T12:57:26.845,0.205,0.549,-0.122,0.183
1730980646850,2024-11-07T12:57:26.850,0.210,0.610,-0.122,0.244
1730980646855,2024-11-07T12:57:26.855,0.215,0.732,-0.122,0.305
1730980646860,2024-11-07T12:57:26.860,0.220,0.549,-0.061,0.244
1730980646865,2024-11-07T12:57:26.865,0.225,0.549,-0.061,0.244
1730980646870,2024-11-07T12:57:26.870,0.230,0.610,-0.122,0.244
1730980646875,2024-11-07T12:57:26.875,0.235,0.732,-0.122,0.244
1730980646880,2024-11-07T12:57:26.880,0.240,0.549,-0.305,0.183
1730980646885,2024-11-07T12:57:26.885,0.245,0.610,-0.183,0.183
1730980646890,2024-11-07T12:57:26.890,0.250,0.671,-0.183,0.183
1730980646895,2024-11-07T12:57:26.895,0.255,0.671,-0.183,0.244
1730980646900,2024-11-07T12:57:26.900,0.260,0.549,-0.122,0.244
1730980646905,2024-11-07T12:57:26.905,0.265,0.549,-0.061,0.305
1730980646910,2024-11-07T12:57:26.910,0.270,0.610,-0.061,0.183
1730980646915,2024-11-07T12:57:26.915,0.275,0.610,-0.061,0.305
1730980646920,2024-11-07T12:57:26.920,0.280,0.610,-0.183,0.244
1730980646925,2024-11-07T12:57:26.925,0.285,0.671,-0.183,0.244
1730980646930,2024-11-07T12:57:26.930,0.290,0.671,-0.122,0.122
1730980646935,2024-11-07T12:57:26.935,0.295,0.610,-0.244,0.183
1730980646940,2024-11-07T12:57:26.940,0.300,0.671,-0.244,0.366
1730980646945,2024-11-07T12:57:26.945,0.305,0.549,-0.122,0.244
1730980646950,2024-11-07T12:57:26.950,0.310,0.549,-0.061,0.305
1730980646955,2024-11-07T12:57:26.955,0.315,0.549,-0.061,0.305
1730980646960,2024-11-07T12:57:26.960,0.320,0.671,-0.122,0.183
1730980646965,2024-11-07T12:57:26.965,0.325,0.488,0.000,0.183
1730980646970,2024-11-07T12:57:26.970,0.330,0.610,-0.122,0.122
1730980646975,2024-11-07T12:57:26.975,0.335,0.549,-0.183,0.244
1730980646980,2024-11-07T12:57:26.980,0.340,0.549,-0.122,0.244
1730980646985,2024-11-07T12:57:26.985,0.345,0.549,-0.061,0.244
1730980646990,2024-11-07T12:57:26.990,0.350,0.671,-0.122,0.244
1730980646995,2024-11-07T12:57:26.995,0.355,0.610,-0.061,0.305
1730980647000,2024-11-07T12:57:27.000,0.360,0.671,-0.183,0.305
1730980647005,2024-11-07T12:57:27.005,0.365,0.732,-0.122,0.244
1730980647010,2024-11-07T12:57:27.010,0.370,0.671,0.000,0.244
1730980647015,2024-11-07T12:57:27.015,0.375,0.549,-0.183,0.183
1730980647020,2024-11-07T12:57:27.020,0.380,0.488,-0.183,0.244
1730980647025,2024-11-07T12:57:27.025,0.385,0.671,-0.061,0.244
1730980647030,2024-11-07T12:57:27.030,0.390,0.671,-0.244,0.305
1730980647035,2024-11-07T12:57:27.035,0.395,0.549,-0.183,0.244
1730980647040,2024-11-07T12:57:27.040,0.400,0.610,-0.122,0.305
1730980647045,2024-11-07T12:57:27.045,0.405,0.732,-0.122,0.183
1730980647050,2024-11-07T12:57:27.050,0.410,0.549,-0.122,0.183
