epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980850457,2024-11-07T13:00:50.457,0.000,0.850,-0.091,0.019
1730980850462,2024-11-07T13:00:50.462,0.005,0.511,-0.175,1.124
1730980850467,2024-11-07T13:00:50.467,0.010,0.579,-0.206,0.179
1730980850472,2024-11-07T13:00:50.472,0.015,0.659,-0.217,0.122
1730980850477,2024-11-07T13:00:50.477,0.020,0.514,-0.202,0.202
1730980850482,2024-11-07T13:00:50.482,0.025,0.640,-0.244,0.301
1730980850487,2024-11-07T13:00:50.487,0.030,0.560,-0.271,0.248
1730980850492,2024-11-07T13:00:50.492,0.035,0.514,-0.263,0.183
1730980850497,2024-11-07T13:00:50.497,0.040,0.541,-0.099,0.225
1730980850502,2024-11-07T13:00:50.502,0.045,0.568,-0.114,0.259
1730980850507,2024-11-07T13:00:50.507,0.050,0.526,0.008,0.282
1730980850512,2024-11-07T13:00:50.512,0.055,0.682,0.065,0.278
1730980850517,2024-11-07T13:00:50.517,0.060,0.705,-0.053,0.278
1730980850522,2024-11-07T13:00:50.522,0.065,0.713,-0.008,0.217
1730980850527,2024-11-07T13:00:50.527,0.070,0.564,0.072,0.412
1730980850532,2024-11-07T13:00:50.532,0.075,0.636,0.038,0.831
1730980850537,2024-11-07T13:00:50.537,0.080,0.903,-0.137,1.441
1730980850542,2024-11-07T13:00:50.542,0.085,0.968,0.179,2.130
1730980850547,2024-11-07T13:00:50.547,0.090,0.831,0.057,2.092
1730980850552,2024-11-07T13:00:50.552,0.095,0.800,-0.309,1.303
1730980850557,2024-11-07T13:00:50.557,0.100,0.469,-0.328,0.351
1730980850562,2024-11-07T13:00:50.562,0.105,0.488,-0.480,0.111
1730980850567,2024-11-07T13:00:50.567,0.110,0.644,-0.244,0.229
1730980850572,2024-11-07T13:00:50.572,0.115,0.606,-0.171,0.210
1730980850577,2024-11-07T13:00:50.577,0.120,0.629,-0.217,0.255
1730980850582,2024-11-07T13:00:50.582,0.125,0.514,-0.213,0.252
1730980850587,2024-11-07T13:00:50.587,0.130,0.617,-0.011,0.293
1730980850592,2024-11-07T13:00:50.592,0.135,0.705,-0.099,0.274
1730980850597,2024-11-07T13:00:50.597,0.140,0.644,-0.084,0.267
1730980850602,2024-11-07T13:00:50.602,0.145,0.640,-0.103,0.313
1730980850607,2024-11-07T13:00:50.607,0.150,0.568,-0.171,0.415
1730980850612,2024-11-07T13:00:50.612,0.155,0.629,-0.225,0.564
1730980850617,2024-11-07T13:00:50.617,0.160,0.495,-0.244,1.395
1730980850622,2024-11-07T13:00:50.622,0.165,0.854,0.019,2.290
1730980850627,2024-11-07T13:00:50.627,0.170,0.979,0.091,2.515
1730980850632,2024-11-07T13:00:50.632,0.175,0.739,-0.160,1.841
1730980850637,2024-11-07T13:00:50.637,0.180,0.636,-0.145,1.178
1730980850642,2024-11-07T13:00:50.642,0.185,0.629,-0.084,0.450
1730980850647,2024-11-07T13:00:50.647,0.190,0.370,-0.095,0.103
1730980850652,2024-11-07T13:00:50.652,0.195,0.446,-0.130,0.229
1730980850657,2024-11-07T13:00:50.657,0.200,0.713,-0.076,0.354
1730980850662,2024-11-07T13:00:50.662,0.205,0.675,-0.118,0.263
1730980850667,2024-11-07T13:00:50.667,0.210,0.541,-0.126,0.358
1730980850672,2024-11-07T13:00:50.672,0.215,0.777,0.107,0.354
1730980850677,2024-11-07T13:00:50.677,0.220,0.724,-0.114,0.293
1730980850682,2024-11-07T13:00:50.682,0.225,0.583,-0.122,0.358
1730980850687,2024-11-07T13:00:50.687,0.230,0.579,-0.034,0.343
1730980850692,2024-11-07T13:00:50.692,0.235,0.648,0.023,0.335
1730980850697,2024-11-07T13:00:50.697,0.240,0.720,0.000,0.255
1730980850702,2024-11-07T13:00:50.702,0.245,0.614,0.027,0.232
1730980850707,2024-11-07T13:00:50.707,0.250,0.591,-0.164,0.198
